query,positive,negative,language,domain
query: how to write thank you email after business meeting,"passage: Send the email within 24 hours of the meeting. Thank the participants for their time, summarize key discussion points and action items assigned, and specify the next steps or follow-up date.","passage: When scheduling a initial discovery call with a prospect, propose 2-3 specific time slots, include a brief agenda, and provide a meeting link or phone contact details.",en,email_writing
query: மருத்துவ விடுப்பு கேட்க மேனேஜருக்கு மின்னஞ்சல் அனுப்புவது எப்படி?,"passage: மருத்துவ விடுப்பு மின்னஞ்சலில், உங்கள் உடல்நிலை சரியில்லை என்பதை தெளிவாகக் குறிப்பிட்டு, எத்தனை நாட்கள் விடுப்பு தேவை மற்றும் எந்த தேதியில் பணிக்கு திரும்புவீர்கள் என்பதை தெரிவிக்க வேண்டும்.","passage: ஆண்டு விடுமுறை கேட்டு விண்ணப்பிக்கும் போது, திட்டமிட்ட தேதிகளை குறிப்பிட்டு HR பிரிவிற்கு குறைந்தது இரண்டு வாரங்களுக்கு முன்பே கோரிக்கை அனுப்ப வேண்டும்.",ta,email_writing
query: வேலை ராஜினாமா கடிதம் மின்னஞ்சல் வடிவம் தமிழில்,"passage: ராஜினாமா மின்னஞ்சலில் உங்கள் கடைசி வேலை நாளை தெளிவாக குறிப்பிட வேண்டும். நிறுவனத்தில் கிடைத்த வாய்ப்புகளுக்கு நன்றி தெரிவித்து, உங்கள் பொறுப்புகளை புதியவரிடம் ஒப்படைக்க உதவுவதாக கூற வேண்டும்.",passage: நிறுவனத்தின் அனுபவச் சான்றிதழ் கேட்டு HR பிரிவிற்கு மின்னஞ்சல் அனுப்பும் போது உங்கள் ஊழியர் எண் மற்றும் சேர்ந்த தேதியை குறிப்பிட வேண்டும்.,ta,email_writing
query: சம்பள உயர்வு கேட்க மேலாளருக்கு மின்னஞ்சல் எழுதுவது எப்படி?,"passage: சம்பள உயர்வு மின்னஞ்சலில், கடந்த ஆண்டில் நீங்கள் சாதித்த முக்கிய பணிகளையும் நிறுவனத்திற்கு அளித்த பங்களிப்பையும் சுட்டிக்காட்டி, நேரில் பேச நேரம் ஒதுக்குமாறு கேட்டுக்கொள்ள வேண்டும்.","passage: புதிய வேலை வாய்ப்பு கடிதத்தை ஏற்றுக்கொள்ளும் போது, நிறுவனத்தின் விதிமுறைகளுக்கு சம்மதம் தெரிவித்து பணியில் சேரும் தேதியை உறுதி செய்ய வேண்டும்.",ta,email_writing
query: நேர்காணலுக்குப் பிறகு ஃபாலோ-அப் மின்னஞ்சல் அனுப்புவது எப்படி?,"passage: நேர்காணல் முடிந்து ஒரு வாரம் கழித்து, பணி வாய்ப்பில் உங்களின் ஆர்வத்தை மீண்டும் உறுதிப்படுத்தி, தேர்வின் அடுத்த கட்ட நிலை குறித்து பணிவாக கேட்டு மின்னஞ்சல் அனுப்பலாம்.","passage: நேர்காணல் அழைப்பு கடிதத்திற்கு பதிலளிக்கும் போது, வழங்கப்பட்ட நேரம் வசதியாக உள்ளதா என்பதை உறுதிசெய்து நன்றி தெரிவிக்க வேண்டும்.",ta,email_writing
query: தாமதமான திட்டப்பணிக்கு மன்னிப்பு கேட்கும் மின்னஞ்சல்,"passage: திட்டப்பணி தாமதமானதற்கு காரணம் கூறாமல் நேரடியாக பொறுப்பேற்று மன்னிப்பு கேட்க வேண்டும். திருத்தப்பட்ட புதிய முடிக்கும் தேதியையும், இனி தாமதம் ஏற்படாமல் இருக்க எடுக்கும் நடவடிக்கைகளையும் குறிப்பிட வேண்டும்.","passage: திட்டப்பணியின் காலக்கெடுவை நீட்டிக்கக் கோரும் போது, கூடுதல் நேரம் தேவைப்படுவதற்கான நியாயமான காரணங்களை மேலாளரிடம் விளக்க வேண்டும்.",ta,email_writing
query: வாடிக்கையாளருக்கு நிலுவை கட்டணம் நினைவூட்டல் மின்னஞ்சல்,"passage: வாடிக்கையாளருக்கு நிலுவைத் தொகை மின்னஞ்சல் அனுப்பும் போது, இன்வாய்ஸ் எண், செலுத்த வேண்டிய கடைசி தேதி ஆகியவற்றை குறிப்பிட்டு, இன்வாய்ஸ் நகலை இணைத்து செலுத்த கோர வேண்டும்.","passage: வாடிக்கையாளருக்கு புதிய சேவை கட்டண உயர்வை அறிவிக்கும் போது, சேவையின் தரம் உயர்த்தப்பட்டுள்ளதை விளக்கி முன் கூட்டியே தகவல் தெரிவிக்க வேண்டும்.",ta,email_writing
query: வீட்டிலிருந்து வேலை செய்ய அனுமதி கேட்கும் மின்னஞ்சல்,"passage: வீட்டிலிருந்து பணிபுரிய அனுமதி கேட்கும் போது, குறிப்பிட்ட தேதிகளையும், அநாட்களில் உங்களை தொடர்பு கொள்ளும் வழிகளையும் தெளிவுபடுத்தி மேலாளரின் ஒப்புதலைப் பெற வேண்டும்.","passage: அவசர தனிப்பட்ட விடுப்பு கோரும் போது, உடனடியாக மேலாளருக்கு தகவல் தெரிவித்து உங்கள் பணிகளை யார் கவனிப்பார்கள் என்பதை தெரிவிக்க வேண்டும்.",ta,email_writing
query: வணிகக் கூட்டத்திற்கு பிறகு நன்றி தெரிவிக்கும் மின்னஞ்சல்,"passage: கூட்டத்தில் விவாதிக்கப்பட்ட முக்கிய முடிவுகளை சுருக்கமாக தொகுத்து, அடுத்த கட்ட நடவடிக்கைகள் மற்றும் பொறுப்பாளர்களைக் குறிப்பிட்டு 24 மணி நேரத்திற்குள் நன்றி மின்னஞ்சல் அனுப்ப வேண்டும்.","passage: வாடிக்கையாளருடன் புதிய அறிமுகக் கூட்டம் ஏற்பாடு செய்ய, உங்களுக்கு வசதியான நேரங்களை முன்மொழிந்து மின்னஞ்சல் அனுப்ப வேண்டும்.",ta,email_writing
query: தொழில்முறை மின்னஞ்சலில் பாடக் கோடு (Subject Line) அமைப்பது எப்படி?,"passage: மின்னஞ்சலின் பாடக் கோடு (Subject Line) சுருக்கமாகவும், மின்னஞ்சலின் நோக்கத்தை தெளிவாக விவரிப்பதாகவும் இருக்க வேண்டும். தேவையற்ற வார்த்தைகளை தவிர்க்க வேண்டும்.","passage: மின்னஞ்சல் முடிவில் இணைக்கப்படும் கையொப்பத்தில் (Signature) பெயர், பதவி, மற்றும் தொடர்புகொள்ளும் எண்களை சரியாக அமைக்க வேண்டும்.",ta,email_writing
query: Manager-ku sick leave mail eppdi anuppuradhu today?,"passage: Sick leave mail anuppum podhu subject line-la leave request-nu podunga. Odambu mudiyala, innaiku varamudiyadhu-nu solli, eppo return varuvenga-nu Mention pannunga.","passage: Annual leave apply panna HR portal-la 2 weeks munnadiye request submit panni, unga project handover plan-ah attach pannunga.",ta-en,email_writing
query: Salary hike ketka manager-ku mail format Tanglish-la,"passage: Salary revision mail-la past 1 year achievements and project metrics highlight pannunga. Over-all contribution solli, idhu pathi discuss panna unga manager kitta meeting slot ketkalam.","passage: New job offer accept pannum podhu joining date confirm panni, required onboarding documents pathi HR kitta kettu mail anuppunga.",ta-en,email_writing
query: Resignation mail with 30 days notice period format,"passage: Resignation mail-la unga last working day-ah notice period padi specify pannunga. Company-la kedacha opportunities-ku thanks solli, work handover-ku help pandren-nu podunga.",passage: Relieving letter and experience certificate vaanga HR team-ku employee ID details oda request mail anuppungall.,ta-en,email_writing
query: Interview mudinjum status updation kku follow up mail eppdi podradhu?,"passage: Interview mudinju 1 week aachu-na, job role-mela irukura interest-ah reiterate panni polite-ah update ketka mail anuppunga.",passage: Interview call letter vandhadhum scheduled time comfortable-ah irukanu confirm panni recruiter-ku acknowledgement mail podunga.,ta-en,email_writing
query: Project deadline miss aanadhuku client-ku apology mail,"passage: Deadline miss aanadhukaga directly apologize pannunga. Real cause and revised completion date mention panni, ini ipdi aagadha maadhiri steps edukren-nu assure pannunga.","passage: Project timeline extend panna requirement irundha, deadline-ku munnadiye client kitta rationale explain panni approval ketka mail anuppunga.",ta-en,email_writing
query: Client-ku pending payment reminder mail anuppuvadhu eppdi?,"passage: Pending payment mail-la invoice number and original due date quote pannunga. Soft copy invoice attach panni, payment clear panna polite reminder anuppunga.",passage: Client-ku annual subscription renewal mail anuppum podhu new pricing options and benefits summary details offer pannunga.,ta-en,email_writing
query: Work from home permission email to team lead,"passage: Work from home request mail-la specific dates, working hours availability and project deliverables list panni team lead approval-ku mail anuppungall.",passage: Emergency personal leave edukkum podhu team lead-ku immediate update kuduthu unga urgent tasks handle panna backup contact person specify pannunga.,ta-en,email_writing
query: Client meeting mudindhadhum thank you mail anuppuvadhu eppdi?,passage: Meeting mudinju same day-la key discussion points and action items bullet points-ah summarize panni team and client-ku thank you mail anuppunga.,passage: Next client meeting schedule panna proposed dates and meeting agenda outline-ah mail template-la create pannunga.,ta-en,email_writing
query: Professional-ah email subject line concise-ah eppdi ezhudhuradhu?,passage: Subject line clear and specific-ah irukanum. Email purpose-ah 5-7 words-la summarize panni urgency and main topic highlight pannanum.,"passage: Professional email signature-la unga full name, designation, company name and official contact numbers add panni maintain pannunga.",ta-en,email_writing
query: Best action verbs to start resume bullet points for software dev,"passage: Use strong achievement-oriented verbs such as engineered, architected, optimized, deployed, spearheaded, and automated to demonstrate impact instead of passive phrases like responsible for.","passage: When choosing font styles for a technical resume, opt for clean sans-serif typography like Helvetica or Calibri set between 10 and 12 point size.",en,resume_and_cv_assistance
query: ATS friendly resume format download tips,"passage: Ensure ATS compatibility by using standard section headings, simple clean layouts without tables or graphic columns, standard fonts, and submitting in plain text or PDF format as requested by the job application portal.","passage: To format a LinkedIn profile summary for recruiters, write in the first person, highlight core competencies, and include relevant search keywords.",en,resume_and_cv_assistance
query: should I include photo on CV for remote US jobs?,"passage: For US and UK job applications, avoid including personal photos on your CV to comply with anti-discrimination hiring guidelines, unless specifically requested for modeling or acting roles.","passage: When adding personal contact details on an international CV, include your professional email address, phone number with country code, and LinkedIn profile link.",en,resume_and_cv_assistance
query: resume summary vs objective statement which is better now?,"passage: A professional summary is preferred for experienced candidates as it highlights key achievements and skills, whereas an objective statement is best suited for entry-level applicants stating career goals.","passage: When writing the skills section of a resume, separate hard technical skills from interpersonal soft skills using clear category subheadings.",en,resume_and_cv_assistance
query: how long should a resume be for 5 years experience?,"passage: For professionals with 5 years of experience, a clean one-page or focused two-page resume is ideal. Prioritize recent, high-impact roles and summarize older positions concisely.","passage: To reduce resume file size before submission, compress high-resolution images or export the document as an optimized PDF file.",en,resume_and_cv_assistance
query: how to quantify achievements in sales resume without exact revenue figures?,"passage: Quantify achievements using percentage growth, rank within your team, client retention rates, or deal volume ratios if confidential revenue numbers cannot be disclosed.","passage: When listing sales territory management experience, specify the geographical regions covered, client portfolio size, and team leadership responsibilities.",en,resume_and_cv_assistance
query: tailoring resume to job description fast method,"passage: Compare the target job posting keywords with your resume, incorporate exact matching skill terminology in your experience bullets, and align your summary statement with the key job requirements.","passage: When preparing for a behavioral interview, practice framing past work accomplishments using the Situation, Task, Action, and Result (STAR) framework.",en,resume_and_cv_assistance
query: entry level resume for fresher with no work experience sample,"passage: Emphasize academic achievements, relevant coursework, university capstone projects, extracurricular leadership, internship roles, and technical certifications to demonstrate job readiness.","passage: To write an effective cover letter as a college graduate, connect your academic training directly to the requirements listed in the entry-level job posting.",en,resume_and_cv_assistance
query: listing online certifications like Coursera on resume correctly,"passage: Create a dedicated Certifications section. List the official certificate title, issuing organization, completion date, and credential URL or ID if available.","passage: When formatting the Education section of a resume, list your highest degree first with your university name, graduation year, and relevant honors.",en,resume_and_cv_assistance
query: functional resume template when switching careers from teaching to IT,"passage: Use a functional or combination resume structure that groups transferable skills like project organization, communication, and problem-solving at the top, followed by relevant technical training.","passage: When preparing a portfolio for a career transition, include sample projects and case studies demonstrating practical application of your newly acquired skills.",en,resume_and_cv_assistance
query: should I put references available upon request on CV?,passage: Omit the phrase references available upon request from your resume as it is considered redundant. Employers will ask for reference contact details separately during final interview stages.,"passage: When selecting professional references, choose former supervisors or senior colleagues who can speak directly to your work performance and achievements.",en,resume_and_cv_assistance
query: ரெஸ்யூமில் தொழில்முறை சுருக்கம் (Professional Summary) எழுதுவது எப்படி?,"passage: ரெஸ்யூம் சுருக்கத்தில் உங்கள் பணி அனுபவம், முக்கிய திறன்கள் மற்றும் சாதனைகளை 3-4 வரிகளில் சுருக்கமாகக் குறிப்பிட்டு, நீங்கள் அந்தப் பணிக்கு எவ்வாறு பொருத்தமானவர் என்பதை விவரிக்க வேண்டும்.","passage: ரெஸ்யூமில் குறிக்கோள் கூற்று (Objective Statement) எழுதும் போது, உங்கள் எதிர்கால தொழில் வளர்ச்சி விருப்பங்களை தெளிவாக குறிப்பிட வேண்டும்.",ta,resume_and_cv_assistance
query: வேலை அனுபவம் இல்லாத புதியவர்களுக்கான ரெஸ்யூம் வடிவம்,"passage: அனுபவம் இல்லாத புதியவர்கள் (Freshers) தங்கள் கல்வித் தகுதி, கல்லூரி திட்டப்பணிகள் (Projects), சான்றிதழ் படிப்புகள் மற்றும் தலைமைப் பண்புகளை முன்னிலைப்படுத்தி ரெஸ்யூம் தயாரிக்க வேண்டும்.",passage: புதியவர்கள் நேர்காணலுக்குச் செல்லும் போது கல்லூரி கல்வி சான்றிதழ்கள் மற்றும் அடையாள அட்டைகளை தயாராக வைத்திருக்க வேண்டும்.,ta,resume_and_cv_assistance
query: ரெஸ்யூமில் வேலை இடைவெளியை (Career Gap) குறிப்பிடுவது எப்படி?,"passage: வேலை இடைவெளியை நேர்மறையாகக் காட்ட, அக்காலத்தில் நீங்கள் கற்ற புதிய திறன்கள், ஆன்லைன் படிப்புகள் அல்லது பகுதி நேர திட்டப்பணிகளை ரெஸ்யூமில் தெளிவுபடுத்த வேண்டும்.","passage: அடிக்கடி வேலை மாறிய அனுபவங்களை ரெஸ்யூமில் எழுதும் போது, ஒவ்வொரு நிறுவனத்திலும் கற்றுக்கொண்ட பலதரப்பட்ட திறன்களை முன்னிலைப்படுத்த வேண்டும்.",ta,resume_and_cv_assistance
query: ATS மென்பொருள் ஏற்றுக்கொள்ளும் ரெஸ்யூம் தயாரிக்கும் முறைகள்,"passage: ATS மென்பொருளில் தேர்ச்சி பெற எளிய எழுத்துருக்கள், நிலையான தலைப்புகள் மற்றும் நிறுவனத்தின் விளம்பரத்தில் உள்ள முக்கிய சொற்களை (Keywords) ரெஸ்யூமில் சேர்க்க வேண்டும்.",passage: லிங்க்டு இன் (LinkedIn) சுயவிவரத்தில் உங்கள் தொழில்முறை திறன்களை சேர்ப்பதன் மூலம் வேலைவாய்ப்பு தேடுபொறிகளில் முன்னிலை பெறலாம்.,ta,resume_and_cv_assistance
query: ரெஸ்யூமில் சாதனைகளை புள்ளிவிவரங்களுடன் (Metrics) சேர்ப்பது எப்படி?,"passage: சாதனைகளை எழுதும்போது வெறுமனே கடமைகளை குறிப்பிடாமல், 20% விற்பனை அதிகரிப்பு அல்லது 30% நேர சேமிப்பு போன்ற புள்ளிவிவரங்களுடன் கூடிய முடிவுகளை சேர்க்க வேண்டும்.",passage: தொழில்முறை ரெஸ்யூமில் உங்கள் முன்னாள் நிறுவனத்தின் திட்டப்பணி விவரங்களை எழுதும் போது குழுவின் அளவை குறிப்பிட வேண்டும்.,ta,resume_and_cv_assistance
query: ஆன்லைன் சான்றிதழ் படிப்புகளை ரெஸ்யூமில் எங்கு குறிப்பிட வேண்டும்?,"passage: ரெஸ்யூமில் Certifications என்ற தனிப் பகுதியை உருவாக்கி, படிப்பின் பெயர், வழங்கிய நிறுவனம் மற்றும் முடித்த ஆண்டை வரிசையாக குறிப்பிட வேண்டும்.","passage: கல்வித் தகுதிப் பகுதியில் பட்டம் பெற்ற கல்லூரி பெயர், தேர்ச்சி பெற்ற ஆண்டு மற்றும் மதிப்பெண் சதவீதத்தை பட்டியலிட வேண்டும்.",ta,resume_and_cv_assistance
query: ரெஸ்யூமின் நீளம் எத்தனை பக்கங்கள் இருக்க வேண்டும்?,"passage: 5 ஆண்டுகளுக்கும் குறைவான அனுபவம் உள்ளவர்களுக்கு 1 பக்க ரெஸ்யூமும், அதிக அனுபவம் உள்ளவர்களுக்கு 2 பக்க ரெஸ்யூமும் மிகவும் ஏற்றதாகும்.",passage: ரெஸ்யூமை PDF வடிவத்தில் சேமித்து அனுப்புவதன் மூலம் கணினிகளுக்கு இடையே வடிவமைப்பு மாறுபடாமல் இருக்கும்.,ta,resume_and_cv_assistance
query: ரெஸ்யூமில் தவிர்க்க வேண்டிய முக்கிய தவறுகள் எவை?,"passage: இலக்கணப் பிழைகள், முறையற்ற மின்னஞ்சல் முகவரி, தேவையற்ற புகைப்படங்கள் மற்றும் உண்மைக்கு மாறான தகவல்களை ரெஸ்யூமில் சேர்ப்பதைத் தவிர்க்க வேண்டும்.",passage: நேர்காணலின் போது ரெஸ்யூமில் குறிப்பிட்ட தகவல்களுக்கு பொருத்தமான ஆதாரங்களை கொண்டு செல்ல வேண்டும்.,ta,resume_and_cv_assistance
query: தொழில் மாற்றம் (Career Transition) செய்பவர்களுக்கான ரெஸ்யூம் முறை,"passage: தொழில் மாற்றம் செய்பவர்கள் காலவரிசை முறையைத் தவிர்த்து, மாற்றத்தக்க திறன்களை (Transferable Skills) முதன்மைப்படுத்தும் Kombinational ரெஸ்யூம் முறையைப் பயன்படுத்த வேண்டும்.",passage: புதிய துறையில் வேலை தேடும் போது அத்துறை சார்ந்த நிபுணர்களுடன் தொடர்பு கொண்டு வழிகாட்டுதல் பெற வேண்டும்.,ta,resume_and_cv_assistance
query: Resume-la career gap 2 years irukku epdi highlight pannuradhu?,"passage: Career gap period-la panna online courses, freelance work or personal skill development-ah positive-ah highlight panni gap-ah explain pannunga.","passage: Multiple jobs 6 months-la maathirundha, unga broad skill set and adaptability-ah focus panni experience section format pannunga.",ta-en,resume_and_cv_assistance
query: Fresher-ku 1 page resume format create panna tips,"passage: Fresher resume-la college projects, technical skills, academic performance and extracurricular achievements-ah key sections-ah Highlight panni 1 page-la fit pannunga.",passage: Campus placement interview-ku resume copy print edukkum podhu good quality bond paper and clean font use pannunga.,ta-en,resume_and_cv_assistance
query: ATS score adhigam varadhuku resume keywords epdi add pannanum?,passage: Job description-la irukura key technical skills and qualifications-ah exact phrasing oda unga resume skills and summary sections-la incorporate pannunga.,"passage: Recruiter contact panna unga active mobile number, professional email ID and LinkedIn profile link resume top header-la place pannunga.",ta-en,resume_and_cv_assistance
query: Resume summary and objective difference enna Tanglish-la?,"passage: Experienced professionals-ku summary statement suitable, key wins highlight pannum. Freshers-ku career objective best, unga goals and enthusiasm explain pannum.","passage: Soft skills section-la communication, teamwork and leadership capabilities bullet points-ah add panni maintain pannunga.",ta-en,resume_and_cv_assistance
query: Action verbs use panni resume bullet points powerful-ah ezhudhuradhu epdi?,"passage: Responsible for nu podama engineered, led, increased, developed maadhiri strong action verbs start panni achieved outcome-ah explain pannunga.","passage: Resume font selection-la Arial, Calibri or Helvetica maadhiri professional sans-serif fonts 10-12pt size-la use pannunga.",ta-en,resume_and_cv_assistance
query: Online certifications like Coursera resume-la enga add pannanum?,"passage: Resume-la Certifications-nu separate header create panni course name, platform name and completion year details list pannunga.","passage: Education section-la degree title, college name, pass out year and GPA percentage high to low order-la mention pannunga.",ta-en,resume_and_cv_assistance
query: Resume 1 page irukanuma illai 2 pages irukanuma?,passage: Less than 5 years experience irundha 1 page resume threshold best. Senior profiles with 8+ years experience 2 pages extend pannalam.,passage: Job portal-la resume upload pannum podhu PDF format-la save panni submit pannuvadhugal recommended.,ta-en,resume_and_cv_assistance
query: Resume-la project metrics and percentage numbers eppdi include pannanum?,passage: Accomplishments-ah numbers-la show pannanum. Example-ku reduced deployment time by 40% or managed 15-member team-nu metrics add pannunga.,passage: Project description-la unga individual contribution and overall project goals baseline metrics describe pannunga.,ta-en,resume_and_cv_assistance
query: Career shift from BPO to IT resume epdi tailor pannanum?,"passage: BPO-la irundhu IT-ku maarum podhu transferable skills like client management, troubleshooting and technical certifications resume-la top-la highlight pannunga.",passage: Technical interview-ku prepare aagum podhu resume-la mention panna projects code baseline thoroughly revise pannunga.,ta-en,resume_and_cv_assistance
query: standard cover letter length and word count recommendation,"passage: A strong cover letter should be strictly one page long, typically between 250 and 400 words structured across three to four concise paragraphs highlighting relevant value.","passage: To adjust cover letter margins for document printing, use standard one-inch margins and maintain line spacing between 1.15 and 1.5 for readability.",en,cover_letter_writing
query: cover letter for career change from accounting to data analyst sample intro,passage: Begin by clearly stating your target role and expressing enthusiasm for data analysis. Highlight how your strong analytical background and numerical skills in accounting translate directly to business intelligence.,"passage: When highlighting technical skills in a data analyst resume, list core programming languages like Python and SQL alongside visualization tools like Tableau.",en,cover_letter_writing
query: how to mention employee referral in cover letter first paragraph?,"passage: Mention the referral immediately in your opening sentence. For example, state that [Employee Name], [Their Title] at your company, suggested I apply for this position due to my background in project management.","passage: When asking a current employee for a job referral via email, attach your resume and briefly outline why your qualifications align with the open role.",en,cover_letter_writing
query: email body cover letter vs attached PDF cover letter format,"passage: When applying via email, paste a shortened version of your cover letter directly into the email body and attach your formal resume. If using an job portal, upload the full cover letter as a PDF.","passage: When naming your job application PDF files, use a clean naming convention such as Firstname_Lastname_CoverLetter.pdf for easy recruiter tracking.",en,cover_letter_writing
query: how to write call to action closing paragraph in cover letter?,"passage: Reiterate your enthusiasm for the position, state your availability for an interview, thank the reader for their time, and include a polite closing statement inviting further discussion.","passage: To write a professional email sign-off, use standard closing phrases such as Sincerely or Best regards followed by your full name and phone number.",en,cover_letter_writing
query: cover letter for fresher college graduate internship application,"passage: Focus on academic excellence, relevant course projects, passion for the industry, leadership roles in student organizations, and a strong eagerness to learn and contribute to the team.","passage: When building a college student resume header, list your current university name, degree title, expected graduation month, and current GPA.",en,cover_letter_writing
query: should I repeat everything from resume in cover letter?,"passage: No, avoid repeating your resume line by line. Use your cover letter to tell the story behind key achievements, explain motivation, and connect your specific experiences directly to company needs.","passage: When formatting your resume work experience section, use reverse chronological order starting with your most recent employment role.",en,cover_letter_writing
query: explaining relocation reason in cover letter smoothly,"passage: State clearly that you are planning to relocate to the target city by a specific timeframe, emphasize your self-sufficiency regarding moving arrangements, and reiterate your commitment to the local role.","passage: When negotiating a corporate relocation assistance package, inquire about temporary housing allowances, moving expenses reimbursement, and travel stipends.",en,cover_letter_writing
query: how to address salary requirements in cover letter if requested by employer?,"passage: If required, provide a flexible salary range based on market research rather than a single number, and state that compensation is negotiable based on the full benefits package.","passage: When evaluating a final job offer letter, consider base salary, performance bonuses, health insurance coverage, and retirement contribution matching.",en,cover_letter_writing
query: creative cover letter opening hook examples for marketing role,"passage: Open with a compelling story or impressive marketing result achieved in a previous campaign, demonstrating your creative problem-solving mindset right from the first sentence.","passage: When designing a marketing portfolio website, showcase 3-4 detailed case studies highlighting campaign objectives, target audience, and ROI metrics.",en,cover_letter_writing
query: cover letter template for internal job promotion in same company,"passage: Emphasize your deep understanding of company processes, proven performance track record in your current department, and clear vision for contributing at a higher leadership level.","passage: When requesting an internal transfer meeting with your department head, prepare a summary of your recent project accomplishments and strategic career goals.",en,cover_letter_writing
query: அட்டைக்கடிதம் (Cover Letter) தொடக்கப் பத்தியை எவ்வாறு எழுதுவது?,"passage: அட்டைக்கடிதத்தின் முதல் பத்தியில் நீங்கள் விண்ணப்பிக்கும் பணியின் பெயர், அந்த வேலை வாய்ப்பைப் பற்றி அறிந்த விதம் மற்றும் அந்தப் பணியில் உங்களின் ஆர்வத்தை சுருக்கமாகக் குறிப்பிட வேண்டும்.","passage: அட்டைக்கடிதத்தின் இறுதி பத்தியில் நேர்காணலுக்கான வாய்ப்பைக் கோரி, வாசிப்பவருக்கு நன்றி தெரிவிக்கும் சொற்களைச் சேர்க்க வேண்டும்.",ta,cover_letter_writing
query: நிறுவன மேலாளர் பெயர் தெரியாத போது அட்டைக்கடித முகவரி அமைப்பது எப்படி?,passage: மேலாளரின் பெயர் தெரியாத போது To Whom It May Concern என்பதற்குப் பதிலாக Dear Hiring Manager அல்லது Dear Recruitment Team என்று மரியாதையுடன் குறிப்பிட வேண்டும்.,passage: நேர்காணல் நடத்துபவரின் பெயரை முன்கூட்டியே தெரிந்துகொள்ள நிறுவனத்தின் இணையதளம் மற்றும் லிங்க்டு இன் பக்கங்களை ஆய்வு செய்ய வேண்டும்.,ta,cover_letter_writing
query: புதியவர்களுக்கான (Freshers) அட்டைக்கடிதம் எழுதும் முறை,"passage: வேலை அனுபவம் இல்லாத புதியவர்கள் தங்கள் கல்லூரி கல்வித் தகுதி, திட்டப்பணிகள், தொழில்நுட்பத் திறன்கள் மற்றும் நிறுவனத்தின் வளர்ச்சிக்கு எவ்வாறு உதவுவார்கள் என்பதை விளக்கி அட்டைக்கடிதம் எழுத வேண்டும்.",passage: புதியவர்களுக்கான நேர்காணலின் போது தொழில்நுட்ப கேள்விகளுக்குத் தேவையான அடிப்படை கோட்பாடுகளை தயாரித்துச் செல்ல வேண்டும்.,ta,cover_letter_writing
